order_id,order_date,origin_country,destination_country,carrier,warehouse,product_category,weight_kg,shipping_cost_usd,cod_amount_usd,status,delivery_date,sla_days_target,fail_reason
APG101023,03-22-2025,UAE,Kuwait,Local Fleet ,IST-WH1,Fashion,0.5,7.05,0.0,Delivered,26/03/2025,4,
APG100809,03-07-2025,UAE,Iraq,Local Fleet ,AMM-WH2,Electronics,0.97,9.09,0.0,IN TRANSIT,,4,
APG100773,2025-01-13,Jordan,Iraq,SMSA,DXB-WH1,Sports,2.64,14.1,21.68,In Transit,,2,
APG100522,2025-04-29 10:00,UK,Egypt,aramex,AMM-WH2,BEAUTY,10.28,39.41,153.58,Delivered,03/05/2025,10,
APG100398,2025-04-09,UAE,Kuwait,Aramex,IST-WH1,Fashion,3.04,19.82,0.0,Delivered,14/04/2025,4,
APG100124,03-19-2025,Jordan,Iraq,Local Fleet,AMM-WH1,TOYS,1.07,6.65,0.0,Delivered,2025-03-24,2,
APG100570,2025-08-07 07:00,UK,Egypt,SMSA,IST-WH1,Books,1.11,7.99,123.64,Delivered,2025-08-12 20:43,10,
APG101053,07-10-2025,Jordan,Egypt,Local Fleet,AMM-WH2,Beauty,0.1,5.16,148.29,DELIVERED,15/07/2025,2,
APG100428,12/04/2025,UK,Iraq,aramex,DXB-WH1,Books,3.65,21.76,0.0,Deliverd,20/04/2025,10,
APG100441,03-10-2025,UAE,Jordan,FastCourier,AMM-WH2,Beauty,1.94,10.52,0.0,Delivered,2025-03-17 03:47,4,
APG100062,04-05-2025,Germany,Egypt,SMSA,DXB-WH1,Sports,2.12,10.73,0.0,DELIVERED,2025-04-09,10,
APG100499,28/01/2025,UK,Jordan,Local Fleet ,DXB-WH1,Toys,2.22,13.26,0.0,Failed Delivery,04/02/2025,10,Refused by Customer
APG100374,2025-05-18,China,Saudi Arabia,Local Fleet ,AMM-WH1,Books,0.1,2.13,0.0,Deliverd,2025-05-24 06:45,9,
APG100235,05-22-2025,UK,Saudi Arabia,SMSA,IST-WH1,Fashion,0.29,3.11,167.75,Failed,28/05/2025,10,Customer Not Available
APG101087,2025-05-13,China,Jordan,SMSA,IST-WH1,Fashion,1.76,10.5,0.0,delivered,2025-05-19,9,
APG100529,02-05-2025,UAE,Jordan,aramex,IST-WH1,Beauty,0.5,5.16,111.79,Deliverd,08/02/2025,4,
APG100370,05-18-2025,Jordan,Egypt,DHL,DXB-WH1,Sports,0.29,3.24,238.07,Returned,23/05/2025,2,Customer Not Available
APG100694,16/08/2025,Germany,UAE,aramex,DXB-WH1,Fashion,1.31,6.81,0.0,Deliverd,2025-08-21 17:00,10,
APG100674,2025-07-28,Turkey,Egypt,Local Fleet ,IST-WH1,Sports,1.14,7.41,0.0,DELIVERED,2025-08-11 09:17,7,
APG100319,2025-03-03 11:00,Germany,Jordan,DHL,IST-WH1,Books,2.89,15.56,0.0,Returned ,2025-03-10,10,Wrong Address
APG100884,2025-05-29,Jordan,Jordan,FastCourier,AMM-WH2,Toys,0.97,6.75,0.0,Deliverd,2025-05-31,2,
APG100088,06/02/2025,Jordan,Egypt,SMSA,AMM-WH1,Home & Garden,0.8,7.38,0.0,FAILED_DELIVERY,2025-02-10,2,Wrong Address
APG100685,18/08/2025,UK,UAE,Local Fleet ,IST-WH1,Electronics,2.18,16.4,0.0,Delivered,2025-08-25,10,
APG100692,2025-07-24,Germany,Iraq,Local Fleet ,DXB-WH1,Sports,0.72,5.87,0.0,Canceled,2025-07-31 01:51,10,
APG101161,2025-08-17,UK,UAE,DHL,AMM-WH2,Books,1.94,7.98,0.0,delivered,2025-08-25 04:35,10,
APG100629,2025-03-30 02:00,Jordan,Saudi Arabia,FastCourier,DXB-WH1,BOOKS,1.24,8.14,58.02,DELIVERED,2025-04-05 09:47,2,
APG100230,2025-05-17 16:00,UK,Kuwait,aramex,AMM-WH1,Home & Garden,2.8,10.06,0.0,Returned ,2025-05-23 16:11,10,Customer Not Available
APG100008,04/08/2025,Germany,UAE,aramex,DXB-WH1,Electronics,2.77,12.08,0.0,delivered,2025-08-09,10,
APG100451,2025-01-29,Germany,UAE,Aramex,AMM-WH2,  Books  ,1.07,4.47,0.0,Delivered,2025-02-05 12:24,10,
APG101155,2025-03-27 06:00,Jordan,UAE,Local Fleet,AMM-WH1,Toys,,10.69,112.56,DELIVERED,02/04/2025,2,
APG100340,2025-04-02,UK,Saudi Arabia,Aramex,IST-WH1,Toys,2.98,20.7,0.0,FAILED_DELIVERY,08/04/2025,10,Customer Not Available
APG100375,19/01/2025,China,Jordan,FastCourier,AMM-WH2,Electronics,1.15,9.17,118.27,failed delivery,2025-01-24,9,
APG100068,2025-03-20,UK,Kuwait,Local Fleet ,AMM-WH2,Electronics,1.8,10.5,0.0,Returned,26/03/2025,10,Refused by Customer
APG100971,21/03/2025,Turkey,Egypt,Local Fleet ,AMM-WH2,Home & Garden,1.38,8.55,0.0,Deliverd,2025-03-27 11:53,7,
APG100192,12/04/2025,Germany,Jordan,Local Fleet ,AMM-WH1,Fashion,0.7,4.24,0.0,Delivered,2025-04-17,10,
APG100036,2025-03-31,China,UAE,aramex,DXB-WH1,Toys,3.55,22.01,0.0,FAILED_DELIVERY,2025-04-07 09:07,9,Warehouse Delay
APG100812,02/02/2025,UK,UAE,FastCourier,AMM-WH1,Sports,2.04,10.68,55.57,Deliverd,2025-02-05 17:00,10,
APG100178,2025-03-30 14:00,Germany,Jordan,DHL,DXB-WH1,Fashion,1.16,10.47,0.0,RTO,2025-04-05 09:58,10,Customs Delay
APG101003,2025-04-12 15:00,UAE,Egypt,Local Fleet ,AMM-WH1,Electronics,2.93,13.07,0.0,Delivered,2025-04-16 10:11,4,
APG100231,2025-06-23 20:00,UK,Iraq,aramex,IST-WH1,Home & Garden,2.45,8.43,0.0,Deliverd,2025-06-28 03:27,10,
APG100175,28/04/2025,Turkey,Saudi Arabia,FastCourier,DXB-WH1,Home & Garden,0.25,2.93,0.0,DELIVERED,2025-05-01 18:02,7,
APG100820,03/01/2025,Germany,Iraq,Local Fleet ,AMM-WH2,Books,1.63,11.15,0.0,Delivered,2025-01-06 23:12,10,
APG100442,05/03/2025,China,Iraq,DHL,AMM-WH1,Sports,1.9,10.02,0.0,Deliverd,17/03/2025,9,
APG100993,08-19-2025,Turkey,Egypt,aramex,IST-WH1,Electronics,0.28,3.62,0.0,delivered,2025-08-26 09:28,7,
APG100512,2025-02-19 09:00,Turkey,Saudi Arabia,FastCourier,IST-WH1,Home & Garden,1.26,8.2,0.0,DELIVERED,25/02/2025,7,
APG100070,03-01-2025,China,Iraq,SMSA,AMM-WH2,Electronics,2.31,15.64,0.0,delivered,2025-03-13 23:12,9,
APG100265,2025-04-13 02:00,Jordan,Iraq,Local Fleet,DXB-WH1,Electronics,0.45,5.93,0.0,delivered,2025-04-19 11:41,2,
APG100012,2025-01-30,Germany,Iraq,aramex,DXB-WH1,Sports,1.23,6.29,0.0,DELIVERED,2025-02-04 10:29,10,
APG100044,2025-01-02,Germany,Iraq,aramex,IST-WH1,Sports,0.5,3.33,213.6,CANCELLED,08/01/2025,10,
APG101192,14/05/2025,Turkey,Saudi Arabia,Local Fleet ,DXB-WH1,  Toys  ,1.36,8.95,128.69,In Transit,,7,
APG100774,2025-04-06,UAE,Saudi Arabia,Aramex,IST-WH1,Electronics,2.62,7.86,0.0,delivered,2025-04-11,4,
APG100630,2025-05-12 14:00,Turkey,Egypt,Aramex,AMM-WH2,Sports,1.92,10.53,240.91,delivered,2025-05-21 09:19,7,
APG100769,06-22-2025,Germany,Iraq,SMSA,IST-WH1,  Home & Garden  ,5.68,33.8,0.0,Deliverd,27/06/2025,10,
APG100189,12/08/2025,Germany,Egypt,FastCourier,DXB-WH1,Sports,1.37,7.06,0.0,Deliverd,2025-08-17,10,
APG100493,2025-02-21,China,Saudi Arabia,Aramex,IST-WH1,Beauty,1.08,9.11,11.38,DELIVERED,2025-02-26 06:05,9,
APG100030,2025-07-03 10:00,UK,Saudi Arabia,aramex,IST-WH1,Home & Garden,0.52,6.39,22.19,returned,2025-07-10,10,Warehouse Delay
APG100449,07-18-2025,Jordan,Jordan,Local Fleet ,AMM-WH1,Fashion,0.1,2.92,0.0,Deliverd,2025-07-20,2,
APG100722,08-03-2025,Jordan,Saudi Arabia,Local Fleet,IST-WH1,Fashion,3.51,12.86,0.0,Failed Delivery,2025-08-08 06:50,2,Customs Delay
APG100670,11/05/2025,UK,Jordan,Aramex,DXB-WH1,Beauty,5.93,25.54,0.0,Deliverd,16/05/2025,10,
APG100414,2025-04-13 21:00,Turkey,Jordan,Aramex,AMM-WH2,Toys,1.8,9.92,0.0,DELIVERED,16/04/2025,7,
APG100899,06-05-2025,UAE,Egypt,SMSA,AMM-WH1,Electronics,2.14,10.9,0.0,returned,2025-06-11,4,
APG100028,05/04/2025,China,Saudi Arabia,SMSA,DXB-WH1,Books,1.0,9.59,0.0,delivered,12/04/2025,9,
APG100771,30/07/2025,UAE,Kuwait,DHL,AMM-WH1,Books,0.1,2.17,39.8,delivered,2025-08-05 18:18,4,
APG101197,2025-01-10,UK,Egypt,Local Fleet ,AMM-WH2,Electronics,0.66,4.06,0.0,Deliverd,15/01/2025,10,
APG101194,2025-01-04 03:00,Turkey,Jordan,DHL,IST-WH1,Toys,3.22,13.28,73.78,Deliverd,2025-01-11,7,
APG100476,12/03/2025,UAE,Egypt,SMSA,AMM-WH1,Books,0.33,6.71,0.0,DELIVERED,17/03/2025,4,
APG100065,28/06/2025,UK,UAE,Aramex,AMM-WH1,Books,1.51,9.69,0.0,Deliverd,04/07/2025,10,
APG100865,01/06/2025,UK,Saudi Arabia,aramex,IST-WH1,Toys,5.43,27.03,0.0,Returned,11/06/2025,10,Warehouse Delay
APG101180,03-07-2025,Turkey,Saudi Arabia,aramex,IST-WH1,Toys,0.14,4.35,0.0,Deliverd,2025-03-12,7,
APG100816,2025-02-09,China,UAE,aramex,AMM-WH1,  Fashion  ,0.61,7.6,215.63,returned,2025-02-19 22:11,9,Warehouse Delay
APG100931,01-08-2025,China,Saudi Arabia,DHL,AMM-WH2,Electronics,0.14,3.41,0.0,delivered,2025-01-13,9,
APG100962,2025-03-06 11:00,Germany,Kuwait,Aramex,DXB-WH1,Books,1.0,5.89,134.28,IN TRANSIT,,10,
APG101170,2025-02-14 05:00,UAE,Kuwait,aramex,AMM-WH2,  Sports  ,0.72,7.42,0.0,failed delivery,2025-02-23 10:09,4,
APG101044,2025-04-12,Turkey,Iraq,,IST-WH1,Books,,,0.0,failed delivery,23/04/2025,7,Customs Delay
APG100279,11/03/2025,Turkey,Kuwait,DHL,AMM-WH1,Books,2.9,10.48,121.85,Returned,2025-03-19,7,Wrong Address
APG101091,18/04/2025,china,Jordan,FastCourier,AMM-WH1,Beauty,1.98,7.75,0.0,DELIVERED,2025-04-26 03:35,10,
APG100636,06-18-2025,Turkey,Iraq,Local Fleet ,AMM-WH2,Books,0.69,5.58,0.0,FAILED_DELIVERY,2025-07-02,7,Warehouse Delay
APG100665,07-19-2025,UAE,Kuwait,,AMM-WH2,,,,0.0,DELIVERED,2025-07-26 03:51,4,
APG100121,19/07/2025,UAE,UAE,FastCourier,AMM-WH1,Sports,4.07,19.51,0.0,Delivered,2025-07-22 06:03,4,
APG100400,05/04/2025,UK,Kuwait,DHL,IST-WH1,Books,2.37,15.0,0.0,Deliverd,10/04/2025,10,
APG101187,2025-06-06 19:00,UAE,Iraq,Aramex,IST-WH1,Books,3.81,14.32,0.0,Delivered,11/06/2025,4,
APG100994,2025-03-18,UAE,Egypt,SMSA,AMM-WH1,Fashion,0.42,4.26,0.0,In Transit,,4,
APG100355,2025-07-04 13:00,Germany,Iraq,Local Fleet,AMM-WH2,Toys,1.4,9.14,104.3,Delivered,2025-07-07,10,
APG100444,2025-01-29,Germany,Saudi Arabia,DHL,DXB-WH1,Books,0.94,6.86,0.0,CANCELLED,2025-02-03 03:12,10,
APG100132,13/08/2025,Germany,UAE,FastCourier,AMM-WH2,Beauty,0.15,4.79,0.0,in-transit,,10,
APG101006,2025-06-28 14:00,China,Saudi Arabia,Aramex,IST-WH1,Electronics,0.14,2.84,0.0,Deliverd,2025-06-30 05:06,9,
APG100549,2025-02-08,China,Kuwait,Aramex,IST-WH1,Sports,0.87,6.79,0.0,Delivered,15/02/2025,9,
APG100859,27/07/2025,Turkey,Iraq,DHL,DXB-WH1,Sports,3.39,13.5,0.0,DELIVERED,2025-08-02,7,
APG101025,2025-07-18,UK,Saudi Arabia,FastCourier,DXB-WH1,Home & Garden,0.14,1.99,0.0,delivered,2025-07-23 13:33,10,
APG100061,2025-06-15 22:00,Germany,Kuwait,SMSA,AMM-WH1,Books,0.32,2.79,0.0,Deliverd,2025-06-21 08:33,10,
APG100464,15/05/2025,China,UAE,FastCourier,AMM-WH2,Toys,0.57,5.87,46.77,In Transit ,,9,
APG100806,2025-08-20 03:00,Germany,Iraq,Local Fleet,AMM-WH2,Toys,0.8,8.47,0.0,Deliverd,2025-08-24,10,
APG101184,19/05/2025,UK,UAE,Local Fleet,AMM-WH1,Fashion,2.03,13.45,0.0,delivered,2025-05-23,10,
APG100813,07-17-2025,Jordan,UAE,FastCourier,AMM-WH2,Sports,1.9,6.5,0.0,delivered,20/07/2025,2,
APG101131,2025-07-14,UK,Jordan,FastCourier,AMM-WH1,HOME & GARDEN,0.48,4.05,0.0,in-transit,,10,
APG100346,2025-08-22 18:00,China,Kuwait,Local Fleet ,AMM-WH2,Beauty,0.77,7.69,0.0,FAILED_DELIVERY,31/08/2025,9,
APG100534,10/01/2025,Turkey,Saudi Arabia,Local Fleet ,DXB-WH1,Books,1.16,6.04,0.0,In Transit ,,7,
APG100272,27/05/2025,Turkey,Jordan,FastCourier,AMM-WH1,Sports,0.1,4.53,245.54,Delivered,2025-05-31,7,
APG100105,26/02/2025,Jordan,Egypt,Local Fleet ,DXB-WH1,Books,3.49,19.18,24.6,Delivered,2025-03-05 22:53,2,
APG100324,2025-06-17 22:00,Turkey,UAE,DHL,AMM-WH2,Fashion,0.21,5.41,202.57,DELIVERED,25/06/2025,7,
APG101072,2025-06-25 03:00,Germany,UAE,DHL,DXB-WH1,Electronics,0.12,4.74,93.04,FAILED_DELIVERY,03/07/2025,10,Customs Delay
APG100907,02-24-2025,UAE,Jordan,Local Fleet,AMM-WH2,Home & Garden,3.06,9.82,0.0,IN TRANSIT,,4,
APG100824,27/05/2025,China,Egypt,Local Fleet,AMM-WH1,Sports,0.1,2.25,126.21,Deliverd,07/06/2025,9,
APG100634,2025-05-24 13:00,Jordan,Kuwait,Aramex,AMM-WH2,Fashion,0.91,4.26,0.0,FAILED_DELIVERY,2025-05-30 11:31,2,Refused by Customer
APG100143,2025-03-30,Turkey,Jordan,aramex,DXB-WH1,Toys,1.45,6.71,0.0,Delivered,04/04/2025,7,
APG101074,2025-08-22,Turkey,Jordan,Aramex,DXB-WH1,Toys,5.0,15.19,0.0,Failed,2025-08-28,7,Warehouse Delay
APG101122,06-06-2025,China,UAE,FastCourier,IST-WH1,Sports,1.25,10.93,15.45,delivered,08/06/2025,9,
APG100937,2025-02-01,UAE,UAE,Local Fleet ,AMM-WH2,Home & Garden,0.2,5.01,0.0,RTO,2025-02-05 21:05,4,
APG100326,27/05/2025,UK,Iraq,Local Fleet ,AMM-WH2,Sports,0.1,4.04,0.0,DELIVERED,30/05/2025,10,
APG100049,2025-05-03 00:00,UK,Kuwait,Local Fleet,IST-WH1,Books,0.1,5.36,0.0,DELIVERED,08/05/2025,10,
APG100219,02/04/2025,Jordan,Saudi Arabia,SMSA,IST-WH1,Fashion,2.85,11.45,0.0,Deliverd,2025-04-09 11:02,2,
APG101088,2025-01-27,Turkey,Iraq,aramex,AMM-WH2,Electronics,1.2,7.11,0.0,DELIVERED,12/02/2025,7,
APG100218,04-22-2025,China,Jordan,Local Fleet,IST-WH1,Toys,2.43,16.62,162.19,Delivered,2025-04-26,9,
APG100335,02-04-2025,Jordan,Iraq,Local Fleet,AMM-WH2,Books,0.3,5.55,0.0,IN TRANSIT,,2,
APG100023,04-08-2025,China,Saudi Arabia,Local Fleet,IST-WH1,Books,0.12,4.21,185.32,Deliverd,2025-04-13 11:55,9,
APG100676,2025-07-17 14:00,China,UAE,SMSA,AMM-WH1,  Beauty  ,0.1,4.9,187.31,in-transit,,9,
APG101137,18/01/2025,Turkey,Egypt,Aramex,AMM-WH2,Beauty,0.67,6.44,0.0,Cancelled,2025-02-01 10:26,7,
APG101070,2025-07-14 03:00,Turkey,Egypt,SMSA,IST-WH1,Books,0.1,2.92,0.0,cancelled,2025-07-22,7,
APG100511,2025-08-16 01:00,Turkey,Kuwait,FastCourier,DXB-WH1,Books,2.61,10.76,0.0,Delivered,2025-08-21 00:05,7,
APG100126,2025-05-09 04:00,UK,Kuwait,aramex,DXB-WH1,Books,2.81,18.02,0.0,Failed Delivery,2025-05-13,10,Customs Delay
APG100505,2025-01-15,Jordan,Iraq,FastCourier,DXB-WH1,Sports,3.79,17.91,0.0,DELIVERED,2025-01-20 18:56,2,
APG101069,02/05/2025,UAE,Saudi Arabia,Aramex,AMM-WH2,Electronics,2.92,15.29,0.0,DELIVERED,2025-05-07 22:39,4,
APG101140,30/07/2025,China,Kuwait,SMSA,IST-WH1,Home & Garden,0.77,6.57,0.0,Delivered,2025-08-05 00:21,9,
APG100385,01-07-2025,UAE,Jordan,SMSA,AMM-WH1,Toys,3.11,12.67,0.0,returned,2025-01-13 14:09,4,
APG100958,01-25-2025,Germany,Jordan,Local Fleet ,AMM-WH2,Home & Garden,4.56,17.84,0.0,Deliverd,31/01/2025,10,
APG100727,05/08/2025,Turkey,Kuwait,Aramex,IST-WH1,Sports,0.1,3.49,0.0,DELIVERED,2025-08-10 01:54,7,
APG100223,2025-02-13,UK,Egypt,DHL,DXB-WH1,Fashion,0.85,5.99,25.18,Deliverd,2025-02-20,10,
APG100801,05-30-2025,China,Iraq,DHL,AMM-WH1,Toys,0.88,6.44,0.0,Delivered,08/06/2025,9,
APG101132,2025-02-10,Turkey,Iraq,SMSA,IST-WH1,Sports,0.1,2.1,0.0,DELIVERED,2025-02-22,7,
APG100411,2025-05-10,UAE,Kuwait,FastCourier,DXB-WH1,Home & Garden,3.72,25.84,0.0,Delivered,2025-05-17 15:37,4,
APG100602,2025-03-29 05:00,Jordan,Kuwait,DHL,AMM-WH2,Fashion,0.31,5.86,0.0,In Transit,,2,
APG100191,2025-07-27 01:00,UK,Kuwait,,IST-WH1,,,,0.0,Deliverd,2025-07-29 15:10,10,
APG100419,04-28-2025,Germany,Saudi Arabia,Local Fleet,AMM-WH1,Sports,0.89,4.1,0.0,Deliverd,2025-05-04,10,
APG100245,2025-08-01 20:00,China,Iraq,Aramex,DXB-WH1,Beauty,4.68,21.68,0.0,returned,15/08/2025,9,Customs Delay
APG100226,2025-06-04 22:00,Turkey,UAE,SMSA,AMM-WH2,Home & Garden,1.41,13.16,79.95,delivered,12/06/2025,7,
APG101020,2025-07-26 10:00,UK,Saudi Arabia,DHL,AMM-WH1,Beauty,1.91,10.77,0.0,DELIVERED,2025-08-01 02:40,10,
APG100404,04/05/2025,UK,Egypt,FastCourier,IST-WH1,Home & Garden,2.29,16.04,0.0,DELIVERED,2025-05-08 11:20,10,
APG100180,2025-08-26,china,Egypt,Local Fleet ,IST-WH1,  Beauty  ,0.59,6.84,0.0,Deliverd,2025-09-05 11:14,9,
APG100081,05-18-2025,UAE,Kuwait,aramex,IST-WH1,  Toys  ,4.4,20.3,0.0,Failed,25/05/2025,4,
APG100959,01-04-2025,Jordan,Saudi Arabia,SMSA,AMM-WH1,Home & Garden,0.83,4.65,0.0,Deliverd,11/01/2025,2,
APG100427,2025-07-26,UAE,Iraq,FastCourier,AMM-WH1,Beauty,2.95,10.57,0.0,FAILED_DELIVERY,2025-08-01 19:52,4,Warehouse Delay
APG100158,2025-02-09 09:00,China,Egypt,DHL,AMM-WH2,  Home & Garden  ,3.6,18.12,0.0,delivered,2025-02-21 11:16,9,
APG100566,23/06/2025,UAE,Iraq,aramex,DXB-WH1,Electronics,3.31,12.86,0.0,delivered,27/06/2025,4,
APG101036,2025-05-14 04:00,Germany,Kuwait,Local Fleet,AMM-WH1,Electronics,4.11,19.4,0.0,Deliverd,2025-05-16 19:40,10,
APG100547,18/01/2025,UAE,Kuwait,FastCourier,AMM-WH2,Beauty,0.1,1.91,139.75,delivered,2025-01-25,4,
APG100620,01-10-2025,Jordan,Kuwait,FastCourier,DXB-WH1,Sports,1.19,8.32,0.0,delivered,2025-01-14,2,
APG100736,2025-07-24,UAE,Saudi Arabia,DHL,IST-WH1,Home & Garden,1.1,8.33,0.0,In Transit,,4,
APG101011,04-30-2025,UAE,Kuwait,DHL,DXB-WH1,Electronics,0.1,5.33,0.0,in-transit,,4,
APG100017,27/02/2025,China,Saudi Arabia,FastCourier,AMM-WH2,Fashion,0.79,5.83,0.0,Failed,01/03/2025,9,Customer Not Available
APG100485,08-10-2025,Germany,UAE,SMSA,AMM-WH1,Beauty,0.79,7.95,182.85,delivered,14/08/2025,10,
APG101103,29/04/2025,Jordan,Jordan,Aramex,IST-WH1,Books,0.59,3.63,0.0,Delivered,2025-05-01,2,
APG101153,2025-05-27 06:00,china,UAE,SMSA,DXB-WH1,Fashion,1.02,8.65,0.0,Delivered,29/05/2025,10,
APG100985,08-08-2025,Jordan,Iraq,aramex,DXB-WH1,Books,0.45,3.85,211.44,DELIVERED,12/08/2025,2,
APG101101,05-09-2025,UK,Kuwait,Local Fleet ,DXB-WH1,Home & Garden,1.45,5.91,111.78,Deliverd,2025-05-17 18:52,10,
APG101048,2025-07-19 22:00,Jordan,Jordan,aramex,AMM-WH1,Books,1.59,10.69,0.0,Failed,25/07/2025,2,Refused by Customer
APG101043,04-18-2025,China,UAE,DHL,IST-WH1,Sports,0.8,5.18,0.0,DELIVERED,22/04/2025,9,
APG100110,01-16-2025,UAE,Egypt,SMSA,IST-WH1,Home & Garden,0.88,8.76,0.0,RTO,2025-01-21,4,Damaged Package
APG100593,2025-06-03,UAE,Egypt,DHL,IST-WH1,Home & Garden,0.95,8.76,90.5,delivered,09/06/2025,4,
APG100483,06/04/2025,Germany,Iraq,SMSA,AMM-WH2,  Beauty  ,0.15,2.37,0.0,Deliverd,2025-04-12,10,
APG100262,01-29-2025,Jordan,Kuwait,Local Fleet ,AMM-WH1,Toys,0.36,6.48,0.0,Deliverd,2025-02-04,2,
APG100412,2025-04-07 18:00,Germany,Kuwait,aramex,IST-WH1,Home & Garden,0.99,9.42,216.89,Returned ,2025-04-14 08:55,10,Wrong Address
APG100686,20/07/2025,UK,Egypt,FastCourier,AMM-WH2,Electronics,1.29,10.55,0.0,Delivered,2025-07-27 02:20,10,
APG100921,27/05/2025,Turkey,Saudi Arabia,FastCourier,AMM-WH2,Beauty,0.84,6.49,22.38,delivered,2025-05-30 20:48,7,
APG100274,2025-03-04 14:00,Germany,Egypt,SMSA,AMM-WH2,Books,0.75,6.98,0.0,Failed,09/03/2025,10,Customer Not Available
APG100173,01-09-2025,Germany,Saudi Arabia,DHL,IST-WH1,Electronics,7.04,26.94,175.72,Delivered,2025-01-12,10,
APG100515,2025-01-14 02:00,China,U.A.E.,Local Fleet ,IST-WH1,Toys,1.02,7.0,0.0,CANCELLED,2025-01-20 08:15,9,
APG100891,2025-01-24,UAE,UAE,DHL,AMM-WH2,  Sports  ,1.95,8.83,0.0,Deliverd,2025-01-26 04:31,4,
APG100432,11/08/2025,Jordan,Kuwait,FastCourier,AMM-WH2,Beauty,0.29,5.5,52.49,DELIVERED,2025-08-16 14:05,2,
